split,label,filename,ext,path,width,height,mode,new_split,dest_filename,dest_path
validate,cancer,Lung MRI (880).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (880).png,399,215,RGBA,train,validate__Lung MRI (880).png,..\dataset_split\train\cancer\validate__Lung MRI (880).png
train,no_cancer,LUNG MRI-NC (610).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (610).png,512,512,RGBA,train,train__LUNG MRI-NC (610).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (610).png
train,no_cancer,LUNG MRI-NC (561).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (561).png,512,512,RGBA,train,train__LUNG MRI-NC (561).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (561).png
validate,no_cancer,LUNG MRI NC (245).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (245).png,512,512,RGBA,train,validate__LUNG MRI NC (245).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (245).png
train,no_cancer,LUNG MRI-NC (889).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (889).png,512,512,RGBA,train,train__LUNG MRI-NC (889).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (889).png
train,cancer,Lung MRI (239).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (239).png,420,265,RGBA,train,train__Lung MRI (239).png,..\dataset_split\train\cancer\train__Lung MRI (239).png
train,no_cancer,LUNG MRI-NC (68).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (68).png,512,512,RGBA,train,train__LUNG MRI-NC (68).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (68).png
validate,cancer,Lung MRI (1419).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1419).png,512,512,RGBA,train,validate__Lung MRI (1419).png,..\dataset_split\train\cancer\validate__Lung MRI (1419).png
validate,cancer,Lung MRI (1075).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1075).png,418,218,RGBA,train,validate__Lung MRI (1075).png,..\dataset_split\train\cancer\validate__Lung MRI (1075).png
train,no_cancer,LUNG MRI-NC (780).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (780).png,512,512,RGBA,train,train__LUNG MRI-NC (780).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (780).png
validate,cancer,Lung MRI (820).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (820).png,453,186,RGBA,train,validate__Lung MRI (820).png,..\dataset_split\train\cancer\validate__Lung MRI (820).png
train,cancer,Lung MRI (1075).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1075).png,512,512,RGBA,train,train__Lung MRI (1075).png,..\dataset_split\train\cancer\train__Lung MRI (1075).png
train,no_cancer,LUNG MRI-NC (352).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (352).png,512,512,RGBA,train,train__LUNG MRI-NC (352).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (352).png
train,cancer,Lung MRI (838).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (838).png,512,512,RGBA,train,train__Lung MRI (838).png,..\dataset_split\train\cancer\train__Lung MRI (838).png
validate,cancer,Lung MRI (1298).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1298).png,385,313,RGBA,train,validate__Lung MRI (1298).png,..\dataset_split\train\cancer\validate__Lung MRI (1298).png
train,no_cancer,LUNG MRI-NC (397).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (397).png,512,512,RGBA,train,train__LUNG MRI-NC (397).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (397).png
train,no_cancer,LUNG MRI-NC (705).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (705).png,512,512,RGBA,train,train__LUNG MRI-NC (705).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (705).png
train,cancer,Lung MRI (34).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (34).png,401,266,RGBA,train,train__Lung MRI (34).png,..\dataset_split\train\cancer\train__Lung MRI (34).png
train,cancer,Lung MRI (376).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (376).png,409,334,RGBA,train,train__Lung MRI (376).png,..\dataset_split\train\cancer\train__Lung MRI (376).png
train,cancer,Lung MRI (63).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (63).png,385,196,RGBA,train,train__Lung MRI (63).png,..\dataset_split\train\cancer\train__Lung MRI (63).png
validate,cancer,Lung MRI (1041).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1041).png,354,263,RGBA,train,validate__Lung MRI (1041).png,..\dataset_split\train\cancer\validate__Lung MRI (1041).png
train,cancer,Lung MRI (288).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (288).png,388,261,RGBA,train,train__Lung MRI (288).png,..\dataset_split\train\cancer\train__Lung MRI (288).png
train,no_cancer,LUNG MRI-NC (123).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (123).png,512,512,RGBA,train,train__LUNG MRI-NC (123).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (123).png
validate,cancer,Lung MRI (1085).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1085).png,344,268,RGBA,train,validate__Lung MRI (1085).png,..\dataset_split\train\cancer\validate__Lung MRI (1085).png
train,no_cancer,LUNG MRI-NC (914).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (914).png,512,512,RGBA,train,train__LUNG MRI-NC (914).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (914).png
train,cancer,Lung MRI (574).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (574).png,385,262,RGBA,train,train__Lung MRI (574).png,..\dataset_split\train\cancer\train__Lung MRI (574).png
train,no_cancer,LUNG MRI-NC (481).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (481).png,512,512,RGBA,train,train__LUNG MRI-NC (481).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (481).png
train,cancer,Lung MRI (652).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (652).png,512,512,RGBA,train,train__Lung MRI (652).png,..\dataset_split\train\cancer\train__Lung MRI (652).png
train,cancer,Lung MRI (488).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (488).png,450,329,RGBA,train,train__Lung MRI (488).png,..\dataset_split\train\cancer\train__Lung MRI (488).png
train,cancer,Lung MRI (554).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (554).png,437,308,RGBA,train,train__Lung MRI (554).png,..\dataset_split\train\cancer\train__Lung MRI (554).png
train,no_cancer,LUNG MRI-NC (788).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (788).png,512,512,RGBA,train,train__LUNG MRI-NC (788).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (788).png
train,no_cancer,LUNG MRI-NC (765).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (765).png,512,512,RGBA,train,train__LUNG MRI-NC (765).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (765).png
train,no_cancer,LUNG MRI-NC (1273).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1273).png,512,512,RGBA,train,train__LUNG MRI-NC (1273).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1273).png
validate,no_cancer,LUNG MRI NC (34).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (34).png,581,476,RGBA,train,validate__LUNG MRI NC (34).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (34).png
train,no_cancer,LUNG MRI-NC (1245).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1245).png,512,512,RGBA,train,train__LUNG MRI-NC (1245).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1245).png
train,cancer,Lung MRI (392).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (392).png,399,279,RGBA,train,train__Lung MRI (392).png,..\dataset_split\train\cancer\train__Lung MRI (392).png
train,cancer,Lung MRI (345).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (345).png,394,252,RGBA,train,train__Lung MRI (345).png,..\dataset_split\train\cancer\train__Lung MRI (345).png
train,cancer,Lung MRI (66).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (66).png,439,250,RGBA,train,train__Lung MRI (66).png,..\dataset_split\train\cancer\train__Lung MRI (66).png
validate,cancer,Lung MRI (821).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (821).png,402,309,RGBA,train,validate__Lung MRI (821).png,..\dataset_split\train\cancer\validate__Lung MRI (821).png
train,cancer,Lung MRI (628).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (628).png,172,144,RGBA,train,train__Lung MRI (628).png,..\dataset_split\train\cancer\train__Lung MRI (628).png
train,no_cancer,LUNG MRI-NC (1274).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1274).png,512,512,RGBA,train,train__LUNG MRI-NC (1274).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1274).png
train,cancer,Lung MRI (614).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (614).png,240,134,RGBA,train,train__Lung MRI (614).png,..\dataset_split\train\cancer\train__Lung MRI (614).png
validate,cancer,Lung MRI (920).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (920).png,466,252,RGBA,train,validate__Lung MRI (920).png,..\dataset_split\train\cancer\validate__Lung MRI (920).png
train,cancer,Lung MRI (144).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (144).png,414,307,RGBA,train,train__Lung MRI (144).png,..\dataset_split\train\cancer\train__Lung MRI (144).png
train,no_cancer,LUNG MRI-NC (530).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (530).png,512,512,RGBA,train,train__LUNG MRI-NC (530).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (530).png
train,no_cancer,LUNG MRI-NC (1208).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1208).png,512,512,RGBA,train,train__LUNG MRI-NC (1208).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1208).png
train,no_cancer,LUNG MRI-NC (317).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (317).png,512,512,RGBA,train,train__LUNG MRI-NC (317).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (317).png
validate,cancer,Lung MRI (1022).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1022).png,379,229,RGBA,train,validate__Lung MRI (1022).png,..\dataset_split\train\cancer\validate__Lung MRI (1022).png
train,no_cancer,LUNG MRI-NC (928).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (928).png,512,512,RGBA,train,train__LUNG MRI-NC (928).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (928).png
train,no_cancer,LUNG MRI-NC (182).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (182).png,512,512,RGBA,train,train__LUNG MRI-NC (182).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (182).png
train,cancer,Lung MRI (501).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (501).png,335,237,RGBA,train,train__Lung MRI (501).png,..\dataset_split\train\cancer\train__Lung MRI (501).png
validate,no_cancer,LUNG MRI NC (464).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (464).png,512,512,RGBA,train,validate__LUNG MRI NC (464).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (464).png
train,no_cancer,LUNG MRI-NC (961).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (961).png,512,512,RGBA,train,train__LUNG MRI-NC (961).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (961).png
train,no_cancer,LUNG MRI-NC (664).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (664).png,512,512,RGBA,train,train__LUNG MRI-NC (664).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (664).png
validate,no_cancer,LUNG MRI NC (477).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (477).png,600,475,RGB,train,validate__LUNG MRI NC (477).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (477).png
train,cancer,Lung MRI (1096).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1096).png,512,512,RGBA,train,train__Lung MRI (1096).png,..\dataset_split\train\cancer\train__Lung MRI (1096).png
validate,cancer,Lung MRI (981).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (981).png,418,289,RGBA,train,validate__Lung MRI (981).png,..\dataset_split\train\cancer\validate__Lung MRI (981).png
validate,cancer,Lung MRI (991).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (991).png,410,298,RGBA,train,validate__Lung MRI (991).png,..\dataset_split\train\cancer\validate__Lung MRI (991).png
train,no_cancer,LUNG MRI-NC (826).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (826).png,512,512,RGBA,train,train__LUNG MRI-NC (826).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (826).png
train,cancer,Lung MRI (814).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (814).png,512,512,RGBA,train,train__Lung MRI (814).png,..\dataset_split\train\cancer\train__Lung MRI (814).png
validate,no_cancer,LUNG MRI NC (49).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (49).png,940,627,RGB,train,validate__LUNG MRI NC (49).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (49).png
train,no_cancer,LUNG MRI-NC (657).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (657).png,512,512,RGBA,train,train__LUNG MRI-NC (657).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (657).png
train,cancer,Lung MRI (894).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (894).png,512,512,RGBA,train,train__Lung MRI (894).png,..\dataset_split\train\cancer\train__Lung MRI (894).png
