group_id,path,source_dataset,raw_folder,filename,canonical_label,subtype,is_labeled,is_synthetic_source,corrupt,width,height,aspect_ratio,phash,phash_int,ahash,md5,case_key,group_root,group_size,label_conflict,group_sources,cross_dataset_duplicate,split_group,split,fold
18,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000158 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000158 (5).png,Malignant,Adenocarcinoma,True,False,False,478,367,1.302,c45923e67d1b7431,14148379177209525297,003c5edada7e3c00,564472077114a9dee6a8025f0dfcc869,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000158,92,28,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::31,trainval,3
19,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000160 (6).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000160 (6).png,Malignant,Adenocarcinoma,True,False,False,443,324,1.367,81b55e56696bd630,9346480326906205744,007effeb7e7e0000,7f055a2283d20a56bc2e1447c6bcb0bd,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000160,97,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::32,trainval,2
20,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000161 (4).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000161 (4).png,Malignant,Adenocarcinoma,True,False,False,476,386,1.233,c1c91e96ab6ace38,13963725752108764728,3c7a7afb7f7e0000,2524e3006ab753fc9c518c0a72355258,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000161,99,8,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::32,trainval,2
21,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\squamous.cell.carcinoma\000163 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/squamous.cell.carcinoma,000163 (5).png,Malignant,SquamousCellCarcinoma,True,False,False,464,355,1.307,949a43c56f8f343c,10707945579286049852,187c5edbdb7e3c00,de4f083b898097ced8d81e266efd8164,Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma::000163,101,24,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma::32,trainval,3
22,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\squamous.cell.carcinoma\000164 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/squamous.cell.carcinoma,000164 (5).png,Malignant,SquamousCellCarcinoma,True,False,False,461,330,1.397,d4cd4382393bce6c,15333986532851437164,3c7edbdbde7e0400,7dccac25d2d5e0ee8b63073700399bc4,Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma::000164,103,8,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma::32,trainval,3
23,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000165 (6).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000165 (6).png,Malignant,Adenocarcinoma,True,False,False,456,354,1.288,81915e1697697be4,9336346953638312932,3c7eebff7e040000,532260b1af444adad66073123e688cb0,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000165,104,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::33,trainval,0
24,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000166 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000166 (2).png,Malignant,Adenocarcinoma,True,False,False,471,307,1.534,95267ea169c96533,10747416792495908147,003c3e7e7e7e3c00,4fbcb8586015a6a905df94729e4744e5,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000166,105,16,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::33,trainval,0
25,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000167 (3).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000167 (3).png,Malignant,Adenocarcinoma,True,False,False,461,383,1.204,819b5e9e69788565,9339162286750205285,183c6b4b6b3e1000,666903beea8fb73fb2d799e0708438d7,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000167,108,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::33,trainval,0
26,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000171 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000171 (5).png,Malignant,Adenocarcinoma,True,False,False,457,430,1.063,c19a3e4d696a9c71,13950531297935531121,183e7e7d7b7e0000,e2859d6dccb62cf97db240016e3f7ab1,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000171,111,8,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::34,trainval,1
27,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000176 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000176 (2).png,Malignant,Adenocarcinoma,True,False,False,434,319,1.361,91376e6c789921b5,10463953671377461685,003c7e5a5a7e3c00,2c07b435dc570d5252d797befdfd3f39,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000176,117,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::35,trainval,0
28,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000177.png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000177.png,Malignant,Adenocarcinoma,True,False,False,506,281,1.801,d0f42f4b3035cb9c,15056711454184295324,007c7e667e7c0000,1a092db32d1b1de0859414031ff018df,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000177,118,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::35,trainval,0
29,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\large.cell.carcinoma\000111 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/large.cell.carcinoma,000111 (2).png,Malignant,LargeCellCarcinoma,True,False,False,417,296,1.409,81e85616697a4f6d,9360826479748468589,007effcb7b7e1c00,511da9715b9f447025bbaf652fa85b61,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::000111,122,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::22,trainval,3
30,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000155 (4).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000155 (4).png,Malignant,Adenocarcinoma,True,False,False,487,341,1.428,c4d81b836d3b7c64,14184117277690657892,007cdadafa7e0800,1dc756f21ce6ebaf2d3320aa0e896607,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000155,124,36,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::31,trainval,3
31,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\large.cell.carcinoma\000114.png,Chest CT-Scan images Dataset (Mohamed Hany),test/large.cell.carcinoma,000114.png,Malignant,LargeCellCarcinoma,True,False,False,402,322,1.248,91b247c56a963c7a,10498532594576407674,245e5edf5b7a3c00,942eff7aae05d1b75139d4d1b18e1da2,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::000114,126,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::22,trainval,3
32,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\large.cell.carcinoma\000115 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/large.cell.carcinoma,000115 (2).png,Malignant,LargeCellCarcinoma,True,False,False,430,331,1.299,c19616e96bce385a,13949362087618558042,3c7e7cfdf94a7e00,6ef5230380e8ed50c52b6bcbb45f3799,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::000115,127,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::23,trainval,0
33,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\large.cell.carcinoma\000120.png,Chest CT-Scan images Dataset (Mohamed Hany),test/large.cell.carcinoma,000120.png,Malignant,LargeCellCarcinoma,True,False,False,469,345,1.359,913f6e9478d96161,10466205642994049377,003c4a5a5e7e3c00,797794f92c70d02693791f131044cc58,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::000120,130,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::24,trainval,1
34,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\large.cell.carcinoma\000122.png,Chest CT-Scan images Dataset (Mohamed Hany),test/large.cell.carcinoma,000122.png,Malignant,LargeCellCarcinoma,True,False,False,387,322,1.202,d19a06e56b962c3b,15103391882762660923,045c1efde97a3c00,937704386a1837102c5da63a99080035,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::000122,131,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::24,trainval,1
37,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\large.cell.carcinoma\000132 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/large.cell.carcinoma,000132 (2).png,Malignant,LargeCellCarcinoma,True,False,False,422,332,1.271,999a07c17e9e381e,11068167561850796062,3c5eddd9d95b3c00,96b5d0d85e4adb4c47dd2855c06bf1e9,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::000132,141,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/large.cell.carcinoma::26,trainval,2
