path,source_dataset,raw_folder,filename,canonical_label,subtype,is_labeled,is_synthetic_source,corrupt,width,height,aspect_ratio,phash,phash_int,ahash,md5
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000115.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000115.png,Malignant,Adenocarcinoma,True,False,False,484,264,1.833,d0d06fce38396734,15046649286542059316,387e7e6e7e7c0000,fdb6340d705e8ad526adce7ef783d1fb
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000116 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000116 (5).png,Malignant,Adenocarcinoma,True,False,False,454,356,1.275,d0b16f4e3d1b3039,15037923012590121017,007e5edede7e3c00,3c0fac8ebb082efe748b4e537d1adc39
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000116 (7).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000116 (7).png,Malignant,Adenocarcinoma,True,False,False,465,326,1.426,c4d812c76f1b6c39,14184107674175237177,387cdadafa7e3c00,9b3590de4b268cd261c76693f2c5f39b
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000116 (9).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000116 (9).png,Malignant,Adenocarcinoma,True,False,False,406,364,1.115,9992066d6f9c3873,11065914301496440947,003e5edfcb5a7e00,7a8833250fefe0422723f377c4953a57
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000117 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000117 (4).png,Malignant,Adenocarcinoma,True,False,False,453,318,1.425,84c47a1e25789eed,9566905778338045677,007eff6f7e3e0000,866482c092332c56a6779f93c1ad2d3c
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000117 (8).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000117 (8).png,Malignant,Adenocarcinoma,True,False,False,409,280,1.461,d4ce1b922c336e2e,15334224095863860782,3c7efec3f37e2c00,ea01420564660f6ad0f11088edb3c580
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000117.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000117.png,Malignant,Adenocarcinoma,True,False,False,400,271,1.476,d0d12b42630f7e3b,15046855394151333435,247efe7e7e7c3c00,5ad8354153d6d82b58945884dc5df67e
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000118 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000118 (5).png,Malignant,Adenocarcinoma,True,False,False,468,409,1.144,c1c91e96696f8c3c,13963725751001779260,385c5afbdb7e0000,cd95315d58cc1231bdd9982d84cdfa7f
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000118 (7).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000118 (7).png,Malignant,Adenocarcinoma,True,False,False,422,365,1.156,949a4b652fc66c6a,10707953961992088682,3c5e5e5ed25a7c00,e4445db999e3f6c722deb5b3e50765ec
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000119 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000119 (4).png,Malignant,Adenocarcinoma,True,False,False,443,340,1.303,91a17e4f61786d61,10493807486152764769,003e7f7f6f3e1c00,c8ffb14bf0fac67134129310cd4a4ae0
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000119 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000119 (5).png,Malignant,Adenocarcinoma,True,False,False,475,397,1.196,c1c91e96e94fcc38,13963725753147182136,3c5e5afbfb7e0000,ea0203ead960b13f81b8f9abb05e267c
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000119 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000119 (6).png,Malignant,Adenocarcinoma,True,False,False,456,342,1.333,81995e976a9a393a,9338599306750998842,1c3e4b7b6b6a3e00,e8f788ee66c2e91458237c6a5dc6294f
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000120.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000120.png,Malignant,Adenocarcinoma,True,False,False,456,322,1.416,91f14e476cce2d2c,10516272673561914668,387e5f5b5a7e3c00,583a1067369a573df475ab0f8c84d909
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000121 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000121 (6).png,Malignant,Adenocarcinoma,True,False,False,429,314,1.366,85963e9a69ca6d25,9625950086471773477,3c3c7e7e7e7e3c00,52178715c2e557f83c1c8e3092379b83
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000121 (7).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000121 (7).png,Malignant,Adenocarcinoma,True,False,False,454,347,1.308,d0b12e676b9a3c29,15037851652488576041,007e7e7e7e7e3c00,f63dc36a0cf42f7a65c1b63477af7a00
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000121.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000121.png,Malignant,Adenocarcinoma,True,False,False,434,277,1.567,d0f12fca3d2d6434,15055867574932562996,007c7e5e5e7e3c00,18203fa5ca044d8866c17d0af35c4c69
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000122 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000122 (4).png,Malignant,Adenocarcinoma,True,False,False,450,350,1.286,81815e5e69783ef2,9331843662477803250,1c7e6f6b7e3e0000,93bee63ea0119020759f23bdac2a5152
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000122.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000122.png,Malignant,Adenocarcinoma,True,False,False,416,284,1.465,d0916f462d1b6c3d,15028915778707221565,007e5e5e5a7e3c00,828b8f20e7f62bd559803c65f4cb4f73
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000123 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000123 (4).png,Malignant,Adenocarcinoma,True,False,False,415,301,1.379,dc0b03e42fcb3c33,15855771191677238323,387c1c9e9ede7c00,461e023a48a5175541705e8273fd012f
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000123 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000123 (6).png,Malignant,Adenocarcinoma,True,False,False,468,332,1.41,c1c45e9729397d64,13962388748080086372,007edadb7b7e0000,3a2f82aa55bdf7fd7ed204284c83567c
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000123 (9).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000123 (9).png,Malignant,Adenocarcinoma,True,False,False,443,356,1.244,919b13e46e8e3c3a,10492001628717988922,3c7e5e5ada5a7c00,220f73a54b2eae531caa8e1b68d32653
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000124 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000124 (6).png,Malignant,Adenocarcinoma,True,False,False,474,332,1.428,85a16a5e77711a8e,9629094432258202254,007f7f6e3e1c0000,f3674422ddf949b44e1b371d4668ccef
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000124 (9).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000124 (9).png,Malignant,Adenocarcinoma,True,False,False,496,336,1.476,909f1e9678ca2c79,10421081694379060345,3c3c5a5a5a7e3c00,c54df564a0836770f21d8613d6815758
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000125 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000125 (2).png,Malignant,Adenocarcinoma,True,False,False,481,309,1.557,85a17a5c67731a17,9629112015586007575,017f7f6b3a1e0000,4fed19e835a7c65fc6a26e368ead35aa
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000125 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000125 (4).png,Malignant,Adenocarcinoma,True,False,False,452,307,1.472,85856e5e67631a66,9621217530687461990,367f6f6f3e1c0000,5a362182c6ae83e40ef5d75d5b0bc32e
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000125 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000125 (5).png,Malignant,Adenocarcinoma,True,False,False,498,337,1.478,c4dc1b833d397c64,14185243176792063076,087cdada7e7e0000,2bfaa7a68177335656b8d78e3a06f1c6
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000125 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000125 (6).png,Malignant,Adenocarcinoma,True,False,False,483,417,1.158,919a3e4d696e9c31,10491766784115252273,1c3c7e7f6b3e0000,e1e5f81b51bcbbf76cbfba299c0a730a
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000125 (8).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000125 (8).png,Malignant,Adenocarcinoma,True,False,False,468,354,1.322,c55e1eb079d16463,14221838416589448291,003c7e5a4b7e3c00,8bc0dabc68bcfc8d6be604beef34d897
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000126 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000126 (6).png,Malignant,Adenocarcinoma,True,False,False,460,355,1.296,919b1ee46e8e383a,10492013723345893434,1c3e5e5a5a7a3c00,10730cb30ac86979ea5af379a505c88e
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000127 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000127 (5).png,Malignant,Adenocarcinoma,True,False,False,487,301,1.618,d19b0ec67ccc7039,15103682020977176633,1c3c5e5a5e7e3c00,90b7f32392be8ba830c1c87ad43068e0
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000128 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000128 (5).png,Malignant,Adenocarcinoma,True,False,False,456,329,1.386,81c85e172979c5ed,9351828079807940077,003c7ecb7b7e0000,ab9b7b8ce65781ee150bff5b13e437dc
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000129 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000129 (5).png,Malignant,Adenocarcinoma,True,False,False,475,347,1.369,c0d91a866ddb3c3c,13896167289899400252,387cdefa5a7e3c00,782359d8de83d20bdb85231f35633736
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000129.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000129.png,Malignant,Adenocarcinoma,True,False,False,471,279,1.688,91e56ece391d6431,10512930737166836785,103c7e7e7e7e3c00,46612e7b3ab37fbdd4f826cb18e6830a
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000130 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000130 (6).png,Malignant,Adenocarcinoma,True,False,False,447,294,1.52,81c07e17056d6f8f,9349611463761555343,20feff7f7e000000,738a9f75c9d65092f483243fdd10e5c2
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000131 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000131 (2).png,Malignant,Adenocarcinoma,True,False,False,483,362,1.334,95a26e6f689a2999,10782301882653747609,003e7e7e7e3e3c00,321d3c24b345bba95e0567fc9ecc4e97
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000132 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000132 (2).png,Malignant,Adenocarcinoma,True,False,False,490,303,1.617,c06f2ff43093c69c,13866354503530563228,003c7c7e7e7c3c00,c9275f6d759e1e7e4919183629ce1c27
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000132 (7).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000132 (7).png,Malignant,Adenocarcinoma,True,False,False,489,342,1.43,d1d13f8e26ce6c28,15118935303828433960,1c7c7e7e7e7e3c00,7139953f1d4cd382dec5fa6ac089bfa7
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000132 (8).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000132 (8).png,Malignant,Adenocarcinoma,True,False,False,444,346,1.283,91995e077a9a393a,10491520193150990650,1c3e5f5b4b6a3e00,d75fd6633b8df240d7ee0d2285e43ec1
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000132.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000132.png,Malignant,Adenocarcinoma,True,False,False,432,277,1.56,d0f12fc22c4f7839,15055867540289845305,307e5e5e5e7c3c00,7d509cbb7b36062db000129830041589
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000133 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000133 (2).png,Malignant,Adenocarcinoma,True,False,False,466,329,1.416,d0f14a062fcf3c3c,15055896419708648508,307cde7a5a5e3c00,c968753cdf7cce6cc3139a4605d922a5
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000133 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000133 (4).png,Malignant,Adenocarcinoma,True,False,False,478,359,1.331,91a16e4e6c3a3f31,10493789889852227377,307e4e5e7e3e1800,2d534482c81f301cd72de76b9f78e117
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000134 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000134 (2).png,Malignant,Adenocarcinoma,True,False,False,465,322,1.444,c1c15a166fce2c6d,13961539372236811373,386e7e7b7a5e3c00,7e7188dcedfa80b0cb05dc7ed40f657c
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000134 (9).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000134 (9).png,Malignant,Adenocarcinoma,True,False,False,450,329,1.368,81a95e97389a7969,9343102905539524969,1c7e5b5b4b7e3c00,c068e6ab3aa440f0924995416d7814f2
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000134.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000134.png,Malignant,Adenocarcinoma,True,False,False,429,285,1.505,d0f12bda3d6d3031,15055863245609709617,007c5e5a5e7e3c00,cf4b1eec12198a5e72d5211a22edf2f5
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000135 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000135 (5).png,Malignant,Adenocarcinoma,True,False,False,477,318,1.5,d11b2fe47c8c3133,15067689636686737715,083c5e5a5e7e3c00,c0f70f8b2ea0da7db1cc5de3ab2ba642
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000136 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000136 (2).png,Malignant,Adenocarcinoma,True,False,False,442,322,1.373,93137e6464cd31b3,10597953317785907635,003c7e7e7e7e3c00,2f103d16e6b0efbfa2d74a930a523b07
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000136 (8).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000136 (8).png,Malignant,Adenocarcinoma,True,False,False,475,394,1.206,d1d90e86b979d464,15121133195673326692,183c5adbfe7e0000,ed41d025836b46b066e67b25189262ac
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000137 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000137 (2).png,Malignant,Adenocarcinoma,True,False,False,417,322,1.295,c06b2f76754c38b1,13865228063610779825,003c7c7e7e7c3c00,ffe0a4ff588baa01a103a69593d1f6e5
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000137 (4).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000137 (4).png,Malignant,Adenocarcinoma,True,False,False,494,349,1.415,85c56e1e65691ae5,9639231654285875941,003e7e6f7e3c0000,c32747bc1564f048f782df300d038969
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000137 (8).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000137 (8).png,Malignant,Adenocarcinoma,True,False,False,498,402,1.239,81893e96e86ece39,9334060520567655993,1c3e7a7b7b3e0000,8ba303009d5790be2708bcf0f251c249
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000138 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000138 (6).png,Malignant,Adenocarcinoma,True,False,False,475,331,1.435,c4dc1b832d397d64,14185243176523627876,007cdadb7a7e0000,6856182be440dd6fa366a2b1f19ec1e5
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000138 (9).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000138 (9).png,Malignant,Adenocarcinoma,True,False,False,424,373,1.137,949a4b643fcb6c32,10707953957965884466,1c7e5eded65a7c00,6f0be5f0d15cb1286ef9736133d8c41b
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000139 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000139 (5).png,Malignant,Adenocarcinoma,True,False,False,482,314,1.535,916e0eb179cd6127,10479329538353226023,003c7e5a5e7e3c00,ff74090e6446f8cc8c40f5f66b4a9a3d
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000139 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000139 (6).png,Malignant,Adenocarcinoma,True,False,False,498,362,1.376,90b16f6e3c9a31c9,10426237131593232841,003c7e5e5e7c3c00,f9c87c8535e8f01c4c52cdfc4ea9a363
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000139 (8).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000139 (8).png,Malignant,Adenocarcinoma,True,False,False,470,319,1.473,81915ed6696a7669,9336347777500345961,107e7a6b6a7e3800,4ecfa71e7b6fd0d2d0719e17efb723bf
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000139 (9).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000139 (9).png,Malignant,Adenocarcinoma,True,False,False,485,331,1.465,855a1e9679736564,9609026386579907940,083c7a6a7b7e3c00,98ed2a8f13616cfcc60944de40179fd1
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000139.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000139.png,Malignant,Adenocarcinoma,True,False,False,501,273,1.835,d0d52fcb3c0d6c31,15047986279860759601,387c7e7e7e7c3c00,c9a1f2caf9678ae2ae726da28d130b0a
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000140.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000140.png,Malignant,Adenocarcinoma,True,False,False,456,315,1.448,d46d3f90e893d624,15306960600112027172,00007e7e7e7e2400,3defa64c73cd052489155781a3a40526
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000141 (2).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000141 (2).png,Malignant,Adenocarcinoma,True,False,False,491,328,1.497,85807a5f6e8a2d6e,9619823354358410606,307e7f7f3e3e3c00,f4a3d001d7108e4d8b350c32f75c52e6
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000142.png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000142.png,Malignant,Adenocarcinoma,True,False,False,402,282,1.426,d0f16b462c0b7c3d,15055932978407111741,007ede5e5a7e3c00,2bdda3a4b088e20fb174ac249d89d3c3
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000143 (5).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000143 (5).png,Malignant,Adenocarcinoma,True,False,False,438,319,1.373,d5660ab93de46493,15376989768426742931,003c76dadafe7c00,b80f8e6fc7c7c3a02d97a9d9ee50c23b
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\adenocarcinoma\000143 (6).png,CT Scan Images for Lung Cancer (Dishan rathi20),Data/test/adenocarcinoma,000143 (6).png,Malignant,Adenocarcinoma,True,False,False,476,356,1.337,85a17a5e75399a85,9629112024407054981,00767f7f7e3c0000,e317600261e79c99a3b7ceec1a4eb5e8
