path,canonical_label,split_group,source_dataset,label_origin,true_label,pred_label,pred_confidence
D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\squamous cell carcinoma\squamous cell carcinoma (164).png,Malignant,KAGGLE::CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|squamous cell carcinoma::164,Kaggle::CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ),folder,Malignant,Normal,0.6261046230792999
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.121824995088859376862458155637.png,Benign,LIDC::LIDC-IDRI-0569,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5453053534030915
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.137009552031052971596477963106.png,Malignant,LIDC::LIDC-IDRI-0892,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.7196237206459046
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015.png,Malignant,LIDC::LIDC-IDRI-0041,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6914702773094178
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138.png,Malignant,LIDC::LIDC-IDRI-0011,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5335122048854828
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.140642535005388188316143069436.png,Benign,LIDC::LIDC-IDRI-0475,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5457237780094146
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.141345499716190654505508410197.png,Malignant,LIDC::LIDC-IDRI-0880,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.8820288062095643
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.141430002307216644912805017227.png,Malignant,LIDC::LIDC-IDRI-0400,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.8795487880706788
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.143782059748737055784173697516.png,Benign,LIDC::LIDC-IDRI-0468,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5227190613746644
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.148229375703208214308676934766.png,Benign,LIDC::LIDC-IDRI-0463,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.7461344420909882
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.148447286464082095534651426689.png,Malignant,LIDC::LIDC-IDRI-0785,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.4676953405141831
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450.png,Malignant,LIDC::LIDC-IDRI-0196,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9708559632301331
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.168042389372367513325505818854.png,Malignant,LIDC::LIDC-IDRI-0156,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5938579738140106
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.173106154739244262091404659845.png,Malignant,LIDC::LIDC-IDRI-0229,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.8134662628173829
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748.png,Malignant,LIDC::LIDC-IDRI-0240,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5024542570114136
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.187694838527128312070807533473.png,Malignant,LIDC::LIDC-IDRI-0521,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9710622310638428
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.195913706607582347421429908613.png,Malignant,LIDC::LIDC-IDRI-0200,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9355195045471192
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.200725988589959521302320481687.png,Malignant,LIDC::LIDC-IDRI-0860,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.7155930161476135
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.202283133206014258077705539227.png,Malignant,LIDC::LIDC-IDRI-0179,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6325735926628113
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.214800939017429618305208626314.png,Malignant,LIDC::LIDC-IDRI-0870,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.7643005728721619
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709.png,Benign,LIDC::LIDC-IDRI-0899,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.43878997564315797
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.226456162308124493341905600418.png,Malignant,LIDC::LIDC-IDRI-0660,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5492207050323487
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.231834776365874788440767645596.png,Malignant,LIDC::LIDC-IDRI-0647,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5355779021978379
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.241083615484551649610616348856.png,Malignant,LIDC::LIDC-IDRI-0453,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.9259932756423951
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341.png,Malignant,LIDC::LIDC-IDRI-0271,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.8429822087287903
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.252634638822000832774167856951.png,Malignant,LIDC::LIDC-IDRI-0057,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.804248046875
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.257515388956260258681136624817.png,Malignant,LIDC::LIDC-IDRI-0130,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6864667654037475
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.267519732763035023633235877753.png,Benign,LIDC::LIDC-IDRI-0427,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.4825948104262352
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.287560874054243719452635194040.png,Malignant,LIDC::LIDC-IDRI-0193,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6861569344997406
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.292287048883545067541391539652.png,Benign,LIDC::LIDC-IDRI-0541,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.8018457412719727
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.294120933998772507043263238704.png,Malignant,LIDC::LIDC-IDRI-0135,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9229288458824157
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.295462530340364058116953738925.png,Malignant,LIDC::LIDC-IDRI-0377,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6229962944984436
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495.png,Benign,LIDC::LIDC-IDRI-0467,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.6058532178401946
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.321935195060268166151738328001.png,Malignant,LIDC::LIDC-IDRI-0249,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.7617054462432862
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.322682676064999314374885526223.png,Malignant,LIDC::LIDC-IDRI-0315,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6090626418590547
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359.png,Malignant,LIDC::LIDC-IDRI-0596,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.8038964390754699
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.329624439086643515259182406526.png,Benign,LIDC::LIDC-IDRI-0882,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.9361987352371216
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.338875090785618956575597613546.png,Malignant,LIDC::LIDC-IDRI-0916,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.8527586698532105
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.339039410276356623209709113755.png,Benign,LIDC::LIDC-IDRI-0538,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5960061132907867
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.406508755509460310384282367044.png,Malignant,LIDC::LIDC-IDRI-0315,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5003793120384217
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896.png,Malignant,LIDC::LIDC-IDRI-0956,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.6614240229129791
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.613212850444255764524630781782.png,Malignant,LIDC::LIDC-IDRI-0080,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5463827729225159
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904.png,Benign,LIDC::LIDC-IDRI-0369,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.800792008638382
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.670107649586205629860363487713.png,Malignant,LIDC::LIDC-IDRI-0645,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6346270740032197
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.692598144815688523679745963696.png,Malignant,LIDC::LIDC-IDRI-0759,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9529338121414185
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.756684168227383088294595834066.png,Malignant,LIDC::LIDC-IDRI-0736,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6528922855854035
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843.png,Malignant,LIDC::LIDC-IDRI-0209,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9559252738952636
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.948571344159440282864365970915.png,Benign,LIDC::LIDC-IDRI-0390,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5143313705921173
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.980362852713685276785310240144.png,Benign,LIDC::LIDC-IDRI-0669,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.7068825662136079
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.png,Malignant,LIDC::LIDC-IDRI-0684,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9004952549934386
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.131150737314367975651717513386.png,Malignant,LIDC::LIDC-IDRI-0570,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.7002203524112701
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.133378195429627807109985347209.png,Malignant,LIDC::LIDC-IDRI-0133,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.6602510511875154
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.143813757344903170810482790787.png,Benign,LIDC::LIDC-IDRI-0654,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5574255526065827
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.154837327827713479309898027966.png,Malignant,LIDC::LIDC-IDRI-0549,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.6684604763984681
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.156016499715048493339281864474.png,Malignant,LIDC::LIDC-IDRI-0568,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5820315778255463
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.192256506776434538421891524301.png,Malignant,LIDC::LIDC-IDRI-0777,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.5045551359653473
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.205852555362702089950453265567.png,Benign,LIDC::LIDC-IDRI-0384,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.6632222533226014
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.216526102138308489357443843021.png,Malignant,LIDC::LIDC-IDRI-0574,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.7339143395423889
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517.png,Malignant,LIDC::LIDC-IDRI-0999,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.654527622461319
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.238042459915048190592571019348.png,Malignant,LIDC::LIDC-IDRI-0155,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5631712913513184
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.244204120220889433826451158706.png,Malignant,LIDC::LIDC-IDRI-0158,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.5429808914661408
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.300270516469599170290456821227.png,Benign,LIDC::LIDC-IDRI-0487,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.8333800435066223
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.306788423710427765311352901943.png,Malignant,LIDC::LIDC-IDRI-0554,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.7099182367324829
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.308153138776443962077214577161.png,Benign,LIDC::LIDC-IDRI-0765,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.6969827473163605
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038.png,Malignant,LIDC::LIDC-IDRI-0977,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.6037917196750641
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.312704771348460502013249647868.png,Malignant,LIDC::LIDC-IDRI-0215,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.873460340499878
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327.png,Malignant,LIDC::LIDC-IDRI-0113,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.9387638688087463
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371.png,Benign,LIDC::LIDC-IDRI-0284,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.5092132031917572
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.100530488926682752765845212286.png,Normal,LIDC::LIDC-IDRI-0710,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.5896149754524231
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866.png,Normal,LIDC::LIDC-IDRI-0745,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.71444251537323
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.101619518506864197452353163175.png,Malignant,LIDC::LIDC-IDRI-0249,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.7051902294158936
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.114643134991547510142488707241.png,Malignant,LIDC::LIDC-IDRI-0135,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.575946843624115
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.136797553187127958824073184000.png,Malignant,LIDC::LIDC-IDRI-0193,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.6873238921165467
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.150064723270402568379909455144.png,Malignant,LIDC::LIDC-IDRI-0200,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.7051902294158936
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.195674076148062852502601112560.png,Malignant,LIDC::LIDC-IDRI-0068,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.6891179919242859
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671.png,Normal,LIDC::LIDC-IDRI-0028,LIDC-IDRI,radiolog+patologi,Normal,Malignant,0.7286642849445343
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.png,Normal,LIDC::LIDC-IDRI-0327,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.9667913436889648
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.232786588606464808026607934320.png,Normal,LIDC::LIDC-IDRI-0055,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.46710708141326907
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.253414946533085777828778973420.png,Benign,LIDC::LIDC-IDRI-0178,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.7334744572639466
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430.png,Normal,LIDC::LIDC-IDRI-0261,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.9200498819351197
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.281382817714201615159877953485.png,Benign,LIDC::LIDC-IDRI-0289,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.6282461404800415
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.291156498203266896953765649282.png,Normal,LIDC::LIDC-IDRI-0506,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.9081491351127624
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.309483256945153562730089381779.png,Malignant,LIDC::LIDC-IDRI-0260,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.7004436373710632
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.313683718840700224414223339444.png,Benign,LIDC::LIDC-IDRI-0283,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.7051902294158936
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.321592580403367978777549154870.png,Malignant,LIDC::LIDC-IDRI-0271,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.5057954668998719
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.339484970190920330170416228517.png,Normal,LIDC::LIDC-IDRI-0632,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.8322577238082887
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.404942010843748926074697579763.png,Benign,LIDC::LIDC-IDRI-0273,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.6873238921165467
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.410365840592575460083574159166.png,Benign,LIDC::LIDC-IDRI-0270,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.7051902294158936
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.650493030701702338780428147035.png,Malignant,LIDC::LIDC-IDRI-0179,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.5582654118537903
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.686193079844756926365065559979.png,Normal,LIDC::LIDC-IDRI-0293,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.9136038064956665
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.872298293574787924842447249863.png,Benign,LIDC::LIDC-IDRI-0246,LIDC-IDRI,radiolog+patologi,Benign,Normal,0.6232314944267273
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.920930696356287056377683209311.png,Normal,LIDC::LIDC-IDRI-0901,LIDC-IDRI,radiolog+patologi,Normal,Malignant,0.7037561237812042
D:\skripsi\Dataset\lidc-idri-images-full\Normal\1.3.6.1.4.1.14519.5.2.1.6279.6001.935486179338862584391625697780.png,Normal,LIDC::LIDC-IDRI-0041,LIDC-IDRI,radiolog+patologi,Normal,Benign,0.48882499933242796
